,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
18170,6.0,-5.0,-499.211,0.1477,0.0001771,7.788e-05,0.0123,0.0,-1.0,0.000493,20.0,17.3
18275,6.0,-5.0,-499.149,0.1477,0.0001772,7.789e-05,0.0123,0.0,-1.0,0.000493,20.0,17.400000000000002
18380,6.0,-5.0,-499.086,0.1477,0.0001772,7.791e-05,0.01231,0.0,-1.0,0.000493,20.0,17.5
18485,6.0,-5.0,-499.023,0.1477,0.0001773,7.792e-05,0.01232,0.0,-1.0,0.000493,20.0,17.6
18590,6.0,-5.0,-498.959,0.1477,0.0001773,7.793e-05,0.01232,0.0,-1.0,0.000494,20.0,17.7
18695,6.0,-5.0,-498.894,0.1477,0.0001774,7.794e-05,0.01233,0.0,-1.0,0.000494,20.0,17.8
18800,6.0,-5.0,-498.829,0.1477,0.0001774,7.795e-05,0.01233,0.0,-1.0,0.000494,20.0,17.900000000000002
18905,6.0,-5.0,-498.763,0.1477,0.0001775,7.797e-05,0.01234,0.0,-1.0,0.000494,20.0,18.0
19010,6.0,-5.0,-498.696,0.1477,0.0001775,7.798e-05,0.01234,0.0,-1.0,0.000495,20.0,18.1
19115,6.0,-5.0,-498.629,0.1477,0.0001776,7.799e-05,0.01235,0.0,-1.0,0.000495,20.0,18.2
19220,6.0,-5.0,-498.562,0.1477,0.0001776,7.8e-05,0.01235,0.0,-1.0,0.000495,20.0,18.3
19325,6.0,-5.0,-498.494,0.1477,0.0001777,7.802e-05,0.01236,0.0,-1.0,0.000495,20.0,18.400000000000002
19430,6.0,-5.0,-498.425,0.1477,0.0001777,7.803e-05,0.01237,0.0,-1.0,0.000495,20.0,18.5
19535,6.0,-5.0,-498.357,0.1478,0.0001778,7.804e-05,0.01237,0.0,-1.0,0.000496,20.0,18.6
19640,6.0,-5.0,-498.288,0.1478,0.0001778,7.806e-05,0.01238,0.0,-1.0,0.000496,20.0,18.7
19745,6.0,-5.0,-498.219,0.1478,0.0001779,7.807e-05,0.01238,0.0,-1.0,0.000496,20.0,18.8
19850,6.0,-5.0,-498.149,0.1478,0.000178,7.808e-05,0.01239,0.0,-1.0,0.000496,20.0,18.900000000000002
19955,6.0,-5.0,-498.079,0.1478,0.000178,7.81e-05,0.01239,0.0,-1.0,0.000496,20.0,19.0
20060,6.0,-5.0,-498.01,0.1478,0.0001781,7.811e-05,0.0124,0.0,-1.0,0.000497,20.0,19.1
20165,6.0,-5.0,-497.94,0.1478,0.0001781,7.812e-05,0.0124,0.0,-1.0,0.000497,20.0,19.200000000000003
20270,6.0,-5.0,-497.87,0.1478,0.0001782,7.814e-05,0.01241,0.0,-1.0,0.000497,20.0,19.3
20375,6.0,-5.0,-497.799,0.1478,0.0001782,7.815e-05,0.01241,0.0,-1.0,0.000497,20.0,19.400000000000002
20480,6.0,-5.0,-497.729,0.1478,0.0001783,7.816e-05,0.01242,0.0,-1.0,0.000498,20.0,19.5
20585,6.0,-5.0,-497.659,0.1478,0.0001783,7.818e-05,0.01242,0.0,-1.0,0.000498,20.0,19.6
20690,6.0,-5.0,-497.589,0.1478,0.0001784,7.819e-05,0.01243,0.0,-1.0,0.000498,20.0,19.700000000000003
20795,6.0,-5.0,-497.518,0.1478,0.0001785,7.82e-05,0.01243,0.0,-1.0,0.000498,20.0,19.8
20900,6.0,-5.0,-497.448,0.1478,0.0001785,7.822e-05,0.01244,0.0,-1.0,0.000498,20.0,19.900000000000002
21005,6.0,-5.0,-497.378,0.1478,0.0001786,7.823e-05,0.01244,0.0,-1.0,0.000499,20.0,20.0
21110,6.0,-5.0,-497.308,0.1478,0.0001786,7.824e-05,0.01245,0.0,-1.0,0.000499,20.0,20.1
21215,6.0,-5.0,-497.238,0.1478,0.0001787,7.826e-05,0.01245,0.0,-1.0,0.000499,20.0,20.200000000000003
21320,6.0,-5.0,-497.169,0.1478,0.0001787,7.827e-05,0.01246,0.0,-1.0,0.000499,20.0,20.3
21425,6.0,-5.0,-497.099,0.1478,0.0001788,7.828e-05,0.01246,0.0,-1.0,0.000499,20.0,20.400000000000002
21530,6.0,-5.0,-497.03,0.1478,0.0001788,7.83e-05,0.01247,0.0,-1.0,0.0005,20.0,20.5
21635,6.0,-5.0,-496.961,0.1478,0.0001789,7.831e-05,0.01247,0.0,-1.0,0.0005,20.0,20.6
21740,6.0,-5.0,-496.892,0.1479,0.000179,7.832e-05,0.01248,0.0,-1.0,0.0005,20.0,20.700000000000003
21845,6.0,-5.0,-496.824,0.1479,0.000179,7.833e-05,0.01248,0.0,-1.0,0.0005,20.0,20.8
21950,6.0,-5.0,-496.756,0.1479,0.0001791,7.835e-05,0.01249,0.0,-1.0,0.0005,20.0,20.900000000000002
22055,6.0,-5.0,-496.688,0.1479,0.0001791,7.836e-05,0.01249,0.0,-1.0,0.000501,20.0,21.0
22160,6.0,-5.0,-496.621,0.1479,0.0001792,7.837e-05,0.0125,0.0,-1.0,0.000501,20.0,21.1
22265,6.0,-5.0,-496.553,0.1479,0.0001792,7.839e-05,0.0125,0.0,-1.0,0.000501,20.0,21.200000000000003
22370,6.0,-5.0,-496.487,0.1479,0.0001793,7.84e-05,0.01251,0.0,-1.0,0.000501,20.0,21.3
22475,6.0,-5.0,-496.42,0.1479,0.0001793,7.841e-05,0.01251,0.0,-1.0,0.000501,20.0,21.400000000000002
22580,6.0,-5.0,-496.354,0.1479,0.0001794,7.842e-05,0.01252,0.0,-1.0,0.000501,20.0,21.5
22685,6.0,-5.0,-496.289,0.1479,0.0001794,7.844e-05,0.01252,0.0,-1.0,0.000502,20.0,21.6
22790,6.0,-5.0,-496.224,0.1479,0.0001795,7.845e-05,0.01252,0.0,-1.0,0.000502,20.0,21.700000000000003
